vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
3413821700,687886,BD,563833,34,-1.0
1229828190,4496599094,D,32605625,98136,2566.0
1229828190,4496599094,BD,639375,51,-1.0
612989113,4633376307,D,291372792,1169333,21629.0
612989113,4633376307,BD,974667,156,-1.0
310136716,1443568307,D,106308083,399125,6717.0
310136716,1443568307,BD,1717958,434,-1.0
4633374983,880397227,D,1426000,1037,499.0
4633374983,880397227,BD,1522750,399,499.0
446017634,2287771176,D,186540125,658773,9273.0
446017634,2287771176,BD,968625,122,-1.0
479298203,5312471089,D,88911625,305521,5639.0
479298203,5312471089,BD,647458,62,-1.0
5056697613,117992,D,225689750,763962,13997.0
5056697613,117992,BD,547458,39,-1.0
1606671625,4197908961,D,182240750,653015,13972.0
1606671625,4197908961,BD,716667,67,-1.0
30395626,318580785,D,154143708,603185,13569.0
30395626,318580785,BD,1104333,191,-1.0
2083150433,1546348540,D,289710459,1028133,16693.0
2083150433,1546348540,BD,1578917,396,-1.0
1140599805,259815577,D,8456375,16433,2006.0
1140599805,259815577,BD,1165000,289,-1.0
1142993216,280307764,D,254251792,912664,10098.0
1142993216,280307764,BD,602333,49,-1.0
284830115,4149992398,D,135933000,475785,5887.0
284830115,4149992398,BD,3224916,576,-1.0
272248160,5125092111,D,155582917,581037,8625.0
272248160,5125092111,BD,1882666,539,-1.0
366091438,372418586,D,103543459,398775,8484.0
366091438,372418586,BD,686041,70,-1.0
3897585976,497375310,D,46373084,134941,2566.0
3897585976,497375310,BD,647542,63,-1.0
1236202176,4979394425,D,300965833,1132216,17358.0
1236202176,4979394425,BD,1509917,359,-1.0
2962446940,1073461935,D,140498708,526053,5709.0
2962446940,1073461935,BD,836375,94,-1.0
5309217566,904022742,D,286752750,1127834,19252.0
5309217566,904022742,BD,944292,152,-1.0
1570136300,2500432956,D,239172583,868992,17144.0
1570136300,2500432956,BD,1357416,256,-1.0
2283210983,3222983420,D,125701334,426916,6399.0
2283210983,3222983420,BD,1278375,269,-1.0
4861668267,3379407509,D,235878709,877118,12591.0
4861668267,3379407509,BD,667916,63,-1.0
344579878,1165968994,D,253555208,919803,14742.0
344579878,1165968994,BD,2244334,699,-1.0
1105394048,266225778,D,148874375,523953,9282.0
1105394048,266225778,BD,1253000,251,-1.0
1729169129,30916165,D,272332333,991262,13731.0
1729169129,30916165,BD,677958,65,-1.0
1119749420,1099704221,D,203237542,719159,9456.0
1119749420,1099704221,BD,1125125,228,-1.0
8091689,276189367,D,101769250,386818,8603.0
8091689,276189367,BD,766250,82,-1.0
261027971,1117161696,D,193332167,730447,7588.0
261027971,1117161696,BD,660458,65,-1.0
269936898,85789276,D,276087417,955220,10835.0
269936898,85789276,BD,2047042,630,-1.0
1657807241,275977540,D,166888875,650459,13911.0
1657807241,275977540,BD,599167,41,-1.0
4785284484,1137326159,D,160502542,584123,7647.0
4785284484,1137326159,BD,1079875,213,-1.0
1299573381,4137529034,D,283514541,1022737,10839.0
