vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
3172142040,462718038,D,184936416,673596,6982.0
3172142040,462718038,BD,105217083,125983,6982.0
3413821700,687886,D,290177875,1057451,13702.0
3413821700,687886,BD,270111375,376461,13702.0
1229828190,4496599094,D,34226500,98136,2566.0
1229828190,4496599094,BD,19865208,15643,2566.0
612989113,4633376307,D,312119208,1169333,21629.0
612989113,4633376307,BD,309814750,442461,21629.0
310136716,1443568307,D,110631166,399125,6717.0
310136716,1443568307,BD,61918459,72066,6717.0
4633374983,880397227,D,1422417,1037,499.0
4633374983,880397227,BD,1245250,309,499.0
446017634,2287771176,D,173415625,658773,9273.0
446017634,2287771176,BD,103411333,123124,9273.0
479298203,5312471089,D,86894209,305521,5639.0
479298203,5312471089,BD,43838667,45986,5639.0
5056697613,117992,D,197670542,763962,13997.0
5056697613,117992,BD,211288916,269703,13997.0
1606671625,4197908961,D,177223334,653015,13972.0
1606671625,4197908961,BD,332069000,473894,13972.0
30395626,318580785,D,162738917,603185,13569.0
30395626,318580785,BD,270224875,370571,13569.0
2083150433,1546348540,D,277830167,1028133,16693.0
2083150433,1546348540,BD,309736917,442513,16693.0
1140599805,259815577,D,8570958,16433,2006.0
1140599805,259815577,BD,6382833,3993,2025.0
1142993216,280307764,D,262232375,912664,10098.0
1142993216,280307764,BD,266350083,372442,10098.0
284830115,4149992398,D,137062250,475785,5887.0
284830115,4149992398,BD,73063667,86786,5887.0
272248160,5125092111,D,158046166,581037,8625.0
272248160,5125092111,BD,96935167,125785,8625.0
366091438,372418586,D,109222334,398775,8484.0
366091438,372418586,BD,159108667,213655,8484.0
3897585976,497375310,D,45109125,134941,2566.0
3897585976,497375310,BD,37376708,37658,2566.0
1236202176,4979394425,D,300544250,1132216,17358.0
1236202176,4979394425,BD,354460958,514491,17358.0
2962446940,1073461935,D,152542792,526053,5709.0
2962446940,1073461935,BD,117960750,153422,5709.0
5309217566,904022742,D,307646916,1127834,19252.0
5309217566,904022742,BD,332048375,444626,19285.0
1570136300,2500432956,D,243136208,868992,17144.0
1570136300,2500432956,BD,330108625,479916,17144.0
2283210983,3222983420,D,132945500,426916,6399.0
2283210983,3222983420,BD,120346416,147622,6399.0
4861668267,3379407509,D,243736042,877118,12591.0
4861668267,3379407509,BD,264690041,363010,12591.0
344579878,1165968994,D,269858750,919803,14742.0
344579878,1165968994,BD,339723292,477310,14742.0
1105394048,266225778,D,162325417,523953,9282.0
1105394048,266225778,BD,176814541,237354,9282.0
1729169129,30916165,D,269425041,991262,13731.0
1729169129,30916165,BD,333366250,444281,13731.0
1119749420,1099704221,D,191396584,719159,9456.0
1119749420,1099704221,BD,168761583,203140,9456.0
8091689,276189367,D,104736167,386818,8603.0
8091689,276189367,BD,140593375,190282,8603.0
261027971,1117161696,D,191600792,730447,7588.0
261027971,1117161696,BD,135658625,174952,7588.0
269936898,85789276,D,267937250,955220,10835.0
269936898,85789276,BD,291543958,395568,10835.0
1657807241,275977540,D,168939875,650459,13911.0
1657807241,275977540,BD,244050708,323650,13911.0
4785284484,1137326159,D,159321959,584123,7647.0
4785284484,1137326159,BD,110921917,133892,7647.0
1299573381,4137529034,D,279522708,1022737,10839.0
1299573381,4137529034,BD,171575250,212096,10839.0
1084359290,5307014746,D,253931416,912111,12729.0
1084359290,5307014746,BD,190064708,240609,12729.0
388650755,3818867351,D,138516792,488860,8371.0
388650755,3818867351,BD,113987917,141042,8371.0
1148889677,3827108495,D,292406000,1141331,20825.0
1148889677,3827108495,BD,343640041,475507,20851.0
2600662098,748470448,D,46280166,139857,5548.0
2600662098,748470448,BD,61604791,69308,5548.0
291839314,294280363,D,117140208,384283,7457.0
291839314,294280363,BD,94677584,120570,7457.0
3110160826,1986565045,D,253765583,907683,12456.0
3110160826,1986565045,BD,310242709,412582,12456.0
2974709584,2652784549,D,3455000,4889,728.0
2974709584,2652784549,BD,2815125,1249,728.0
3715603908,255740482,D,275479792,980844,11102.0
3715603908,255740482,BD,107046625,137045,11102.0
297194886,263451373,D,173926958,671242,13487.0
297194886,263451373,BD,332505500,440716,13487.0
2522086789,1746863929,D,66085333,184636,5362.0
2522086789,1746863929,BD,45505334,47419,5362.0
312591642,1168444553,D,182259541,677233,10627.0
312591642,1168444553,BD,110477542,138278,10627.0
769214349,746868997,D,194408291,716929,10915.0
769214349,746868997,BD,214824834,280347,10915.0
5236424992,3330556599,D,21908292,49161,2237.0
5236424992,3330556599,BD,13538875,9850,2237.0
414573392,2931542879,D,279220042,1027953,18611.0
414573392,2931542879,BD,336316208,478893,18611.0
669096304,1299751600,D,181813792,647789,7600.0
669096304,1299751600,BD,129877625,172966,7600.0
3619147632,1172802487,D,275834500,991565,13343.0
3619147632,1172802487,BD,339179250,426649,13343.0
278878404,3268034126,D,147470959,527418,13052.0
278878404,3268034126,BD,344553250,475042,13052.0
295632527,252188484,D,192413208,729528,7443.0
295632527,252188484,BD,170260958,211633,7443.0
5343388971,26981894,D,314085250,1150673,18946.0
5343388971,26981894,BD,305620875,423805,18946.0
290678176,1131286350,D,325692500,1144903,15003.0
290678176,1131286350,BD,185126125,260705,15003.0
506345267,2591865236,D,258203833,927499,15046.0
506345267,2591865236,BD,301005166,428316,15046.0
4141679787,4029779478,D,169349875,638630,8605.0
4141679787,4029779478,BD,126699084,156373,8605.0
1082697397,2513841636,D,151830458,456757,4827.0
1082697397,2513841636,BD,81870958,91921,4827.0
260996239,494616321,D,92031667,274030,3331.0
260996239,494616321,BD,69115292,68357,3331.0
2332126134,575395,D,293598917,932397,14479.0
2332126134,575395,BD,248569375,316955,14479.0
2416519335,1237456653,D,116632250,346270,4497.0
2416519335,1237456653,BD,48771500,50073,4497.0
3440082612,1347334739,D,304559833,978524,14021.0
3440082612,1347334739,BD,259900625,353329,14021.0
2961172303,4173955942,D,42319250,118850,2593.0
2961172303,4173955942,BD,36320792,32386,2593.0
451023665,746346133,D,165037208,407664,6899.0
451023665,746346133,BD,97538625,116456,6899.0
1427084725,1094993305,D,264587583,815767,11269.0
1427084725,1094993305,BD,209020250,250656,11269.0
260769601,5392686856,D,171306166,574657,9277.0
260769601,5392686856,BD,112423708,126881,9277.0
263703812,1576112092,D,133645500,436310,10250.0
263703812,1576112092,BD,161388167,205221,10250.0
258604272,252121736,D,102847167,321759,4247.0
258604272,252121736,BD,75954958,88548,4247.0
3910340716,4523985331,D,195123333,720662,14433.0
3910340716,4523985331,BD,331490542,424947,14433.0
5074029610,459792608,D,298251416,1060786,19360.0
5074029610,459792608,BD,362599750,476571,19360.0
258413759,4642140058,D,76144625,246087,3284.0
258413759,4642140058,BD,50516125,50026,3284.0
280695422,694391023,D,103419083,344405,6173.0
280695422,694391023,BD,115736208,136344,6173.0
271437677,270728228,D,134027375,428716,9836.0
271437677,270728228,BD,181650500,234835,9836.0
1128112990,2558013647,D,144738500,456088,7551.0
1128112990,2558013647,BD,119282833,146317,7551.0
339902642,1161152770,D,208723042,771044,10972.0
339902642,1161152770,BD,177222834,205772,10972.0
189046201,281412079,D,153067208,549590,8684.0
189046201,281412079,BD,115050417,137475,8684.0
2857799211,4927560422,D,74262792,239504,6488.0
2857799211,4927560422,BD,110240084,131890,6488.0
1582402452,1217907680,D,149938917,510519,6166.0
1582402452,1217907680,BD,97076333,121242,6166.0
977747950,1578631441,D,207161542,793424,10851.0
977747950,1578631441,BD,250935833,327030,10851.0
1137748632,1239556473,D,309162083,1106058,17686.0
1137748632,1239556473,BD,317742792,436431,17686.0
2476554913,383912442,D,156865584,567972,7440.0
2476554913,383912442,BD,100178125,131049,7440.0
1463666783,3473563080,D,203635667,681497,8137.0
1463666783,3473563080,BD,169784166,201708,8137.0
1582185667,277456096,D,136333875,423454,5613.0
1582185667,277456096,BD,98344167,119105,5613.0
15043918,3481132109,D,300972708,996455,11494.0
15043918,3481132109,BD,325242583,410058,11494.0
300994400,277628456,D,251340416,882566,11768.0
300994400,277628456,BD,206169250,273461,11768.0
5269710444,1080957023,D,290077250,1086541,17993.0
5269710444,1080957023,BD,324381833,457295,17993.0
4581780653,1237292900,D,136590542,445497,8839.0
4581780653,1237292900,BD,146930375,186519,8839.0
389137193,1879793390,D,98305625,341363,8569.0
389137193,1879793390,BD,62968083,76655,8569.0
271807750,1151844678,D,181835375,635652,11350.0
271807750,1151844678,BD,151007875,196977,11350.0
2233653014,1345221689,D,42226250,118101,2738.0
2233653014,1345221689,BD,57391375,60371,2738.0
460480801,3224617114,D,40369042,114080,2674.0
460480801,3224617114,BD,39712125,40018,2674.0
1493427600,5012629216,D,208891833,745390,12155.0
1493427600,5012629216,BD,133264833,167347,12155.0
